From Timestamp,E_PV_N3_2,E_PV_Oth
14-05-2017 00:00,342186.66000000003,1490223.9400000004
14-05-2017 00:05,342186.66000000003,1490223.9400000004
14-05-2017 00:10,342186.66000000003,1490223.9400000004
14-05-2017 00:15,342186.66000000003,1490223.9400000004
14-05-2017 00:20,342186.66000000003,1490223.9400000004
14-05-2017 00:25,342186.66000000003,1490223.9400000004
14-05-2017 00:30,342186.66000000003,1490223.9400000004
14-05-2017 00:35,342186.66000000003,1490223.9400000004
14-05-2017 00:40,342186.66000000003,1490223.9400000004
14-05-2017 00:45,342186.66000000003,1490223.9400000004
14-05-2017 00:50,342186.66000000003,1490223.9400000004
14-05-2017 00:55,342186.66000000003,1490223.9400000004
14-05-2017 01:00,342186.66000000003,1490223.9400000004
14-05-2017 01:05,342186.66000000003,1490223.9400000004
14-05-2017 01:10,342186.66000000003,1490223.9400000004
14-05-2017 01:15,342186.66000000003,1490223.9400000004
14-05-2017 01:20,342186.66000000003,1490223.9400000004
14-05-2017 01:25,342186.66000000003,1490223.9400000004
14-05-2017 01:30,342186.66000000003,1490223.9400000004
14-05-2017 01:35,342186.66000000003,1490223.9400000004
14-05-2017 01:40,342186.66000000003,1490223.9400000004
14-05-2017 01:45,342186.66000000003,1490223.9400000004
14-05-2017 01:50,342186.66000000003,1490223.9400000004
14-05-2017 01:55,342186.66000000003,1490223.9400000004
14-05-2017 02:00,342186.66000000003,1490223.9400000004
14-05-2017 02:05,342186.66000000003,1490223.9400000004
14-05-2017 02:10,342186.66000000003,1490223.9400000004
14-05-2017 02:15,342186.66000000003,1490223.9400000004
14-05-2017 02:20,342186.66000000003,1490223.9400000004
14-05-2017 02:25,342186.66000000003,1490223.9400000004
14-05-2017 02:30,342186.66000000003,1490223.9400000004
14-05-2017 02:35,342186.66000000003,1490223.9400000004
14-05-2017 02:40,342186.66000000003,1490223.9400000004
14-05-2017 02:45,342186.66000000003,1490223.9400000004
14-05-2017 02:50,342186.66000000003,1490223.9400000004
14-05-2017 02:55,342186.66000000003,1490223.9400000004
14-05-2017 03:00,342186.66000000003,1490223.9400000004
14-05-2017 03:05,342186.66000000003,1490223.9400000004
14-05-2017 03:10,342186.66000000003,1490223.9400000004
14-05-2017 03:15,342186.66000000003,1490223.9400000004
14-05-2017 03:20,342186.66000000003,1490223.9400000004
14-05-2017 03:25,342186.66000000003,1490223.9400000004
14-05-2017 03:30,342186.66000000003,1490223.9400000004
14-05-2017 03:35,342186.66000000003,1490223.9400000004
14-05-2017 03:40,342186.66000000003,1490223.9400000004
14-05-2017 03:45,342186.66000000003,1490223.9400000004
14-05-2017 03:50,342186.66000000003,1490223.9400000004
14-05-2017 03:55,342186.66000000003,1490223.9400000004
14-05-2017 04:00,342186.66000000003,1490223.9400000004
14-05-2017 04:05,342186.66000000003,1490223.9400000004
14-05-2017 04:10,342186.66000000003,1490223.9400000004
14-05-2017 04:15,342186.66000000003,1490223.9400000004
14-05-2017 04:20,342186.66000000003,1490223.9400000004
14-05-2017 04:25,342186.66000000003,1490223.9400000004
14-05-2017 04:30,342186.66000000003,1490223.9400000004
14-05-2017 04:35,342186.66000000003,1490223.9400000004
14-05-2017 04:40,342186.66000000003,1490223.9400000004
14-05-2017 04:45,342186.66000000003,1490223.9400000004
14-05-2017 04:50,342186.66000000003,1490223.9400000004
14-05-2017 04:55,342186.66000000003,1490223.9400000004
14-05-2017 05:00,342186.66000000003,1490223.9400000004
14-05-2017 05:05,342186.66000000003,1490223.9400000004
14-05-2017 05:10,342186.66000000003,1490223.9400000004
14-05-2017 05:15,342186.66000000003,1490223.9400000004
14-05-2017 05:20,342186.66000000003,1490223.9400000004
14-05-2017 05:25,342186.66000000003,1490223.9400000004
14-05-2017 05:30,342186.66000000003,1490223.9400000004
14-05-2017 05:35,342186.66000000003,1490223.9400000004
14-05-2017 05:40,342186.66000000003,1490223.9400000004
14-05-2017 05:45,342186.66000000003,1490223.9400000004
14-05-2017 05:50,342186.66000000003,1490223.9400000004
14-05-2017 05:55,342186.66000000003,1490223.9400000004
14-05-2017 06:00,342186.66000000003,1490223.9400000004
14-05-2017 06:05,342186.66000000003,1490223.9400000004
14-05-2017 06:10,342186.66000000003,1490223.9400000004
14-05-2017 06:15,342186.66000000003,1490223.9400000004
14-05-2017 06:20,342186.66000000003,1490223.9400000004
14-05-2017 06:25,342186.66000000003,1490223.9400000004
14-05-2017 06:30,342186.66000000003,1490223.9400000004
14-05-2017 06:35,342186.66000000003,1490223.9400000004
14-05-2017 06:40,342186.66000000003,1490223.9400000004
14-05-2017 06:45,342186.66000000003,1490223.9400000004
14-05-2017 06:50,342186.66000000003,1490223.9400000004
14-05-2017 06:55,342186.66000000003,1490223.9400000004
14-05-2017 07:00,342186.66000000003,1490223.9400000004
14-05-2017 07:05,342186.66000000003,1490223.9400000004
14-05-2017 07:10,342186.66000000003,1490223.9400000004
14-05-2017 07:15,342186.66000000003,1490224.0000000002
14-05-2017 07:20,342186.73,1490224.35
14-05-2017 07:25,342186.85,1490224.9099999997
14-05-2017 07:30,342187.09,1490225.7299999997
14-05-2017 07:35,342187.36000000004,1490226.8199999996
14-05-2017 07:40,342187.85,1490228.8599999999
14-05-2017 07:45,342188.44,1490231.23
14-05-2017 07:50,342189.29999999993,1490234.24
14-05-2017 07:55,342190.3900000001,1490238.3099999998
14-05-2017 08:00,342191.57,1490242.210000001
14-05-2017 08:05,342192.31999999995,1490244.9899999998
14-05-2017 08:10,342193.3599999999,1490248.8099999996
14-05-2017 08:15,342196.20000000007,1490257.0299999998
