From Timestamp,E_PV_HSS,E_PV_S2_2,E_PV_Oth
14-05-2017 00:00,361215.2899999999,142220.48,657872.5099999999
14-05-2017 00:05,361215.2899999999,142220.48,657872.5099999999
14-05-2017 00:10,361215.2899999999,142220.48,657872.5099999999
14-05-2017 00:15,361215.2899999999,142220.48,657872.5099999999
14-05-2017 00:20,361215.2899999999,142220.48,657872.5099999999
14-05-2017 00:25,361215.2899999999,142220.48,657872.5099999999
14-05-2017 00:30,361215.2899999999,142220.48,657872.5099999999
14-05-2017 00:35,361215.2899999999,142220.48,657872.5099999999
14-05-2017 00:40,361215.2899999999,142220.48,657872.5099999999
14-05-2017 00:45,361215.2899999999,142220.48,657872.5099999999
14-05-2017 00:50,361215.2899999999,142220.48,657872.5099999999
14-05-2017 00:55,361215.2899999999,142220.48,657872.5099999999
14-05-2017 01:00,361215.2899999999,142220.48,657872.5099999999
14-05-2017 01:05,361215.2899999999,142220.48,657872.5099999999
14-05-2017 01:10,361215.2899999999,142220.48,657872.5099999999
14-05-2017 01:15,361215.2899999999,142220.48,657872.5099999999
14-05-2017 01:20,361215.2899999999,142220.48,657872.5099999999
14-05-2017 01:25,361215.2899999999,142220.48,657872.5099999999
14-05-2017 01:30,361215.2899999999,142220.48,657872.5099999999
14-05-2017 01:35,361215.2899999999,142220.48,657872.5099999999
14-05-2017 01:40,361215.2899999999,142220.48,657872.5099999999
14-05-2017 01:45,361215.2899999999,142220.48,657872.5099999999
14-05-2017 01:50,361215.2899999999,142220.48,657872.5099999999
14-05-2017 01:55,361215.2899999999,142220.48,657872.5099999999
14-05-2017 02:00,361215.2899999999,142220.48,657872.5099999999
14-05-2017 02:05,361215.2899999999,142220.48,657872.5099999999
14-05-2017 02:10,361215.2899999999,142220.48,657872.5099999999
14-05-2017 02:15,361215.2899999999,142220.48,657872.5099999999
14-05-2017 02:20,361215.2899999999,142220.48,657872.5099999999
14-05-2017 02:25,361215.2899999999,142220.48,657872.5099999999
14-05-2017 02:30,361215.2899999999,142220.48,657872.5099999999
14-05-2017 02:35,361215.2899999999,142220.48,657872.5099999999
14-05-2017 02:40,361215.2899999999,142220.48,657872.5099999999
14-05-2017 02:45,361215.2899999999,142220.48,657872.5099999999
14-05-2017 02:50,361215.2899999999,142220.48,657872.5099999999
14-05-2017 02:55,361215.2899999999,142220.48,657872.5099999999
14-05-2017 03:00,361215.2899999999,142220.48,657872.5099999999
14-05-2017 03:05,361215.2899999999,142220.48,657872.5099999999
14-05-2017 03:10,361215.2899999999,142220.48,657872.5099999999
14-05-2017 03:15,361215.2899999999,142220.48,657872.5099999999
14-05-2017 03:20,361215.2899999999,142220.48,657872.5099999999
14-05-2017 03:25,361215.2899999999,142220.48,657872.5099999999
14-05-2017 03:30,361215.2899999999,142220.48,657872.5099999999
14-05-2017 03:35,361215.2899999999,142220.48,657872.5099999999
14-05-2017 03:40,361215.2899999999,142220.48,657872.5099999999
14-05-2017 03:45,361215.2899999999,142220.48,657872.5099999999
14-05-2017 03:50,361215.2899999999,142220.48,657872.5099999999
14-05-2017 03:55,361215.2899999999,142220.48,657872.5099999999
14-05-2017 04:00,361215.2899999999,142220.48,657872.5099999999
14-05-2017 04:05,361215.2899999999,142220.48,657872.5099999999
14-05-2017 04:10,361215.2899999999,142220.48,657872.5099999999
14-05-2017 04:15,361215.2899999999,142220.48,657872.5099999999
14-05-2017 04:20,361215.2899999999,142220.48,657872.5099999999
14-05-2017 04:25,361215.2899999999,142220.48,657872.5099999999
14-05-2017 04:30,361215.2899999999,142220.48,657872.5099999999
14-05-2017 04:35,361215.2899999999,142220.48,657872.5099999999
14-05-2017 04:40,361215.2899999999,142220.48,657872.5099999999
14-05-2017 04:45,361215.2899999999,142220.48,657872.5099999999
14-05-2017 04:50,361215.2899999999,142220.48,657872.5099999999
14-05-2017 04:55,361215.2899999999,142220.48,657872.5099999999
14-05-2017 05:00,361215.2899999999,142220.48,657872.5099999999
14-05-2017 05:05,361215.2899999999,142220.48,657872.5099999999
14-05-2017 05:10,361215.2899999999,142220.48,657872.5099999999
14-05-2017 05:15,361215.2899999999,142220.48,657872.5099999999
14-05-2017 05:20,361215.2899999999,142220.48,657872.5099999999
14-05-2017 05:25,361215.2899999999,142220.48,657872.5099999999
14-05-2017 05:30,361215.2899999999,142220.48,657872.5099999999
14-05-2017 05:35,361215.2899999999,142220.48,657872.5099999999
14-05-2017 05:40,361215.2899999999,142220.48,657872.5099999999
14-05-2017 05:45,361215.2899999999,142220.48,657872.5099999999
14-05-2017 05:50,361215.2899999999,142220.48,657872.5099999999
14-05-2017 05:55,361215.2899999999,142220.48,657872.5099999999
14-05-2017 06:00,361215.2899999999,142220.48,657872.5099999999
14-05-2017 06:05,361215.2899999999,142220.48,657872.5099999999
14-05-2017 06:10,361215.2899999999,142220.48,657872.5099999999
14-05-2017 06:15,361215.2899999999,142220.48,657872.5099999999
14-05-2017 06:20,361215.2899999999,142220.48,657872.5099999999
14-05-2017 06:25,361215.2899999999,142220.48,657872.5099999999
14-05-2017 06:30,361215.2899999999,142220.48,657872.5099999999
14-05-2017 06:35,361215.2899999999,142220.48,657872.5099999999
14-05-2017 06:40,361215.2899999999,142220.48,657872.5099999999
14-05-2017 06:45,361215.2899999999,142220.48,657872.5099999999
14-05-2017 06:50,361215.2899999999,142220.48,657872.5099999999
14-05-2017 06:55,361215.2899999999,142220.48,657872.5099999999
14-05-2017 07:00,361215.2899999999,142220.48,657872.5099999999
14-05-2017 07:05,361215.2899999999,142220.48,657872.5099999999
