From Timestamp,E_PV_N1,E_PV_N3,E_PV_N4,E_PV_S1,E_PV_S2,E_PV_S3,E_PV_Oth
14-05-2017 04:35,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 04:40,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 04:45,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 04:50,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 04:55,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 05:00,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 05:05,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 05:10,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 05:15,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 05:20,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 05:25,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 05:30,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 05:35,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 05:40,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 05:45,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 05:50,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 05:55,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 06:00,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 06:05,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 06:10,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 06:15,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 06:20,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 06:25,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 06:30,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 06:35,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 06:40,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 06:45,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 06:50,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
14-05-2017 06:55,341927.86,340969.66000000003,311173.69999999995,318186.11,326108.83999999997,283215.75999999995,768181.5000000001
