From Timestamp,E_PV_SCI,E_PV_SPMS,E_PV_Oth
14-05-2017 07:35,232425.43,852296.0500000002,1183434.8399999996
14-05-2017 07:40,232425.69,852296.65,1183436.29
14-05-2017 07:45,232426.03,852297.47,1183438.2399999998
14-05-2017 07:50,232426.43999999997,852298.4099999998,1183440.54
14-05-2017 07:55,232427.1,852300.02,1183444.12
14-05-2017 08:00,232427.84999999998,852301.82,1183448.08
14-05-2017 08:05,232428.26,852302.7700000001,1183450.18
14-05-2017 08:10,232428.73999999996,852304.1200000001,1183452.7499999998
14-05-2017 08:15,232429.72,852306.97,1183458.0199999998
14-05-2017 08:20,232430.77000000002,852309.6399999999,1183463.2400000005
14-05-2017 08:25,232431.71999999997,852313.42,1183467.92
14-05-2017 08:30,232432.58,852315.8999999999,1183471.39
14-05-2017 08:35,232433.41000000003,852318.0700000001,1183475.39
14-05-2017 08:40,232433.90999999997,852319.27,1183477.8700000003
14-05-2017 08:45,232434.41999999998,852320.44,1183480.2200000004
14-05-2017 08:50,232434.95,852321.66,1183482.7900000003
14-05-2017 08:55,232435.66,852323.51,1183486.4300000002
14-05-2017 09:00,232436.62,852325.98,1183490.7099999997
14-05-2017 09:05,232438.21,852329.6599999998,1183500.41
14-05-2017 09:10,232439.32,852332.46,1183509.6500000001
14-05-2017 09:15,232440.37000000002,852334.7699999999,1183514.7899999998
14-05-2017 09:20,232443.23,852338.6900000001,1183528.08
14-05-2017 09:25,232446.49,852338.6900000001,1183546.0899999999
14-05-2017 09:30,232447.67999999996,852338.6900000001,1183551.89
14-05-2017 09:35,232449.22,852338.6900000001,1183559.5199999998
14-05-2017 09:40,232450.74,852338.6900000001,1183567.28
14-05-2017 09:45,232453.39999999997,852338.6900000001,1183578.5799999996
14-05-2017 09:50,232458.68,852338.6900000001,1183606.1299999997
14-05-2017 09:55,232461.06999999998,852338.6900000001,1183620.1300000001
14-05-2017 10:00,232464.34,852338.6900000001,1183633.53
14-05-2017 10:05,232468.08000000002,852338.6900000001,1183647.16
14-05-2017 10:10,232469.36,852338.6900000001,1183653.53
14-05-2017 10:15,232471.44999999998,852338.6900000001,1183662.67
14-05-2017 10:20,232477.97999999998,852338.6900000001,1183694.4600000002
14-05-2017 10:25,232485.66999999998,852338.6900000001,1183733.0799999998
14-05-2017 10:30,232490.99,852338.6900000001,1183763.1800000002
14-05-2017 10:35,232496.04,852338.6900000001,1183784.6800000004
14-05-2017 10:40,232502.67,852338.6900000001,1183817.17
14-05-2017 10:45,232509.08000000002,852338.6900000001,1183849.25
14-05-2017 10:50,232516.2,852338.6900000001,1183884.5100000002
14-05-2017 10:55,232522.31,852338.6900000001,1183918.3900000004
14-05-2017 11:00,232525.00999999998,852338.6900000001,1183932.8900000001
14-05-2017 11:05,232527.5,852338.6900000001,1183945.6099999999
14-05-2017 11:10,232529.49000000002,852338.6900000001,1183956.7200000002
14-05-2017 11:15,232531.60000000003,852338.6900000001,1183968.08
14-05-2017 11:20,232533.89,852338.6900000001,1183980.6300000001
14-05-2017 11:25,232536.78999999998,852338.6900000001,1183994.8
14-05-2017 11:30,232540.81,852338.6900000001,1184014.1900000004
14-05-2017 11:35,232543.71999999997,852338.6900000001,1184032.05
14-05-2017 11:40,232547.88999999998,852338.6900000001,1184052.78
14-05-2017 11:45,232550.66000000003,852338.6900000001,1184066.8599999999
14-05-2017 11:50,232554.37000000002,852338.6900000001,1184084.9200000002
14-05-2017 11:55,232556.27999999997,852338.6900000001,1184094.2600000002
14-05-2017 12:00,232557.97,852338.6900000001,1184103.04
14-05-2017 12:05,232559.11999999997,852338.6900000001,1184108.7000000004
14-05-2017 12:10,232560.43000000002,852338.6900000001,1184114.58
14-05-2017 12:15,232562.22,852338.6900000001,1184122.5399999998
14-05-2017 12:20,232564.79,852338.6900000001,1184134.5
14-05-2017 12:25,232567.23,852338.6900000001,1184146.52
14-05-2017 12:30,232570.00000000003,852338.6900000001,1184159.9500000002
14-05-2017 12:35,232572.32,852338.6900000001,1184172.1899999997
14-05-2017 12:40,232574.12,852338.6900000001,1184181.0000000002
14-05-2017 12:45,232576.88000000003,852338.6900000001,1184193.5300000003
14-05-2017 12:50,232581.72999999998,852338.6900000001,1184214.4100000001
14-05-2017 12:55,232587.17,852338.6900000001,1184248.52
14-05-2017 13:00,232589.25999999998,852338.6900000001,1184260.4300000004
14-05-2017 13:05,232591.7,852338.6900000001,1184272.7999999996
14-05-2017 13:10,232596.72,852338.6900000001,1184300.6199999999
14-05-2017 13:15,232599.43,852338.6900000001,1184317.1800000002
14-05-2017 13:20,232602.53,852338.6900000001,1184332.6600000001
14-05-2017 13:25,232606.19,852695.8900000001,1184353.19
14-05-2017 13:30,232608.55,852703.18,1184365.3700000003
14-05-2017 13:35,232611.58,852712.48,1184386.3699999999
14-05-2017 13:40,232613.85,852718.3300000001,1184397.77
14-05-2017 13:45,232615.6,852722.1200000001,1184407.34
14-05-2017 13:50,232617.05,852725.31,1184414.28
14-05-2017 13:55,232618.69999999998,852728.9600000001,1184422.65
14-05-2017 14:00,232620.27000000002,852732.39,1184430.81
14-05-2017 14:05,232621.80000000002,852735.71,1184438.6800000002
14-05-2017 14:10,232623.7,852739.75,1184448.17
14-05-2017 14:15,232625.58000000002,852743.8300000001,1184457.6599999997
14-05-2017 14:20,232627.43000000002,852747.75,1184466.9599999997
14-05-2017 14:25,232629.47999999998,852752.2400000001,1184477.39
14-05-2017 14:30,232631.79,852757.2099999998,1184489.0200000003
14-05-2017 14:35,232633.78999999998,852761.46,1184499.4000000001
14-05-2017 14:40,232635.32,852764.8,1184507.28
14-05-2017 14:45,232636.33000000002,852767.06,1184512.7099999997
14-05-2017 14:50,232637.13000000003,852768.8699999999,1184516.8499999999
14-05-2017 14:55,232637.88,852770.52,1184520.82
14-05-2017 15:00,232638.51,852771.9,1184524.2
14-05-2017 15:05,232639.24999999997,852773.6,1184527.94
14-05-2017 15:10,232640.11000000002,852775.54,1184532.5000000005
14-05-2017 15:15,232640.83999999997,852777.2099999998,1184536.5699999998
14-05-2017 15:20,232641.30000000002,852778.21,1184539.2299999995
14-05-2017 15:25,232641.61999999997,852778.9500000001,1184541.0099999998
14-05-2017 15:30,232642.02,852779.8799999998,1184542.9800000002
14-05-2017 15:35,232642.45,852780.9099999999,1184545.35
14-05-2017 15:40,232642.92,852782.0500000002,1184547.76
14-05-2017 15:45,232643.42,852783.1999999998,1184550.2499999995
14-05-2017 15:50,232644.16,852784.9799999999,1184554.03
14-05-2017 15:55,232644.97,852786.8499999999,1184558.4300000002
14-05-2017 16:00,232645.75,852788.6900000001,1184562.66
14-05-2017 16:05,232646.57,852790.6099999999,1184566.93
14-05-2017 16:10,232647.46,852792.7899999999,1184571.5499999996
14-05-2017 16:15,232648.58,852795.5000000001,1184577.43
14-05-2017 16:20,232649.84000000003,852798.1100000001,1184584.0399999998
14-05-2017 16:25,232652.27000000002,852803.4400000001,1184595.2699999998
14-05-2017 16:30,232654.54,852808.2000000001,1184605.7200000002
14-05-2017 16:35,232657.46000000002,852814.5399999999,1184620.05
14-05-2017 16:40,232661.34,852823.07,1184638.1400000001
14-05-2017 16:45,232664.97,852830.6599999999,1184654.9300000002
14-05-2017 16:50,232669.08,852839.75,1184673.61
14-05-2017 16:55,232672.13,852846.03,1184689.79
14-05-2017 17:00,232675.94,852854.24,1184707.5
14-05-2017 17:05,232677.68,852858.21,1184718.01
14-05-2017 17:10,232679.27,852861.6999999998,1184725.96
14-05-2017 17:15,232680.37999999998,852864.15,1184731.7199999997
14-05-2017 17:20,232681.50000000003,852866.5899999999,1184737.3900000001
14-05-2017 17:25,232682.41999999998,852868.72,1184742.2300000002
14-05-2017 17:30,232683.22,852870.5100000001,1184746.41
14-05-2017 17:35,232684.49,852873.5199999999,1184754.12
14-05-2017 17:40,232686.16999999998,852877.1699999998,1184762.6000000003
14-05-2017 17:45,232687.95,852881.2,1184770.6599999997
14-05-2017 17:50,232689.48,852884.77,1184778.1899999997
14-05-2017 17:55,232690.06,852886.0,1184781.4199999997
14-05-2017 18:00,232690.25000000003,852886.4,1184782.49
14-05-2017 18:05,232690.31000000003,852886.55,1184782.89
14-05-2017 18:10,232690.42,852886.76,1184783.5299999998
14-05-2017 18:15,232690.42,852886.8999999999,1184783.88
14-05-2017 18:20,232690.43999999997,852886.9599999998,1184784.03
14-05-2017 18:25,232690.5,852887.0999999999,1184784.3800000004
14-05-2017 18:30,232690.57,852887.2999999999,1184784.7700000005
